PLOTIDd,LON,LAT,Modified_stratamap,old_strata,Intended_1A_yes2000,Intended_1B_no2000
888,125.36793825470463,8.266071955128456,55,50,50,50
891,124.96665929180396,11.403798675204612,55,50,50,50
899,122.08630296633059,7.013733424268182,55,50,50,50
905,125.33613594599144,8.40486147541696,55,50,50,50
913,125.53745098125137,7.982562310150366,55,50,50,50
914,118.87581263526431,10.185683744929536,55,50,50,50
916,122.19679503133396,11.618584654746993,55,50,50,50
922,124.51687422764392,7.779365534245893,55,50,50,50
925,124.83352837075228,10.741381377311015,88,50,80,80
941,121.14765327637815,18.474795875201146,55,50,50,50
949,124.95507008816605,11.891312193377848,55,50,50,50
958,120.36530845565211,14.65525030854785,55,50,50,50
968,125.359042348103,8.497031094191685,55,50,50,50
983,125.56143648581785,11.364723572673267,55,50,50,50
988,118.98064610103084,10.088395078145451,55,50,50,50
991,124.21719588224606,13.887459993660269,55,50,50,50
64,121.22715458906004,12.229798095243872,66,60,60,60
140,120.80620207231158,18.39772031349233,66,60,60,60
203,122.68026860395275,11.252073302760062,44,60,42,42
523,124.22124028690153,7.300471458408966,66,60,60,60
792,125.08901256560945,8.041854976858037,66,60,60,60
857,123.57633833794587,8.399470422243343,66,60,60,60
980,122.5401324351461,9.70921542006568,66,60,60,60
29,121.21583293148534,17.355316260228292,17,31,70,70
360,120.65043675431261,17.31408295278708,17,31,80,80
543,121.03770076260226,17.340226662263433,17,31,70,70
1,121.21125343470344,17.078816322106213,88,41,70,80
41,120.48766172945761,16.498593633930792,33,41,80,41
42,125.95220088843446,8.236967402552617,33,41,41,41
97,120.89809968592203,17.41783731609865,33,41,41,41
128,121.62384959607772,14.369314912596685,33,41,80,41
339,125.5105001744843,7.571584802458475,33,41,41,41
358,122.17820057994106,7.393448174474367,33,41,80,41
361,121.35651311062051,12.636196106153877,33,41,41,41
400,125.57356078158216,7.377279474054571,25,41,41,50
405,119.44660432471174,11.077981079431428,33,41,80,41
444,125.29463509248701,7.288614708707852,37,41,80,80
489,125.35634905106672,6.203363153421249,33,41,80,41
550,125.11164696255676,12.105830626857024,37,41,70,80
890,123.1909605294018,7.962621210239358,37,41,80,80
194,121.03716121137482,16.635224949309425,77,70,70,70
228,125.02217509991938,10.4505944794137,77,70,70,70
387,121.66265715254588,14.01924426619381,77,70,70,70
500,121.1484603736688,12.99947460987706,77,70,70,70
667,124.39074855434723,6.124936484093244,77,70,70,70
932,122.10947691450535,17.715629461750936,57,70,70,70
961,120.40734886038399,16.543059789635752,77,70,70,70
8,121.1985851286106,18.18670673344117,27,32,80,80
116,126.34836080332576,7.385903375491935,27,32,80,80
183,125.95921059529049,8.2984138150691,27,32,70,70
316,121.59501258956512,18.354061255078044,17,32,80,80
333,125.76651946146792,9.27613860755291,55,32,50,50
742,123.96575609204434,7.80793053559427,27,32,80,80
152,123.01039815044462,11.385743775039208,47,42,70,70
