Plot No.,User A,User B,Land Cover 2000? Summary,Land cover in 2000? A,Land cover in 2000? B,Type Forest 2000? Summary,Type of forest? A,Type of forest? B,Type NF (2000) Summary,Type NF A,Type NF B,Type of Crop (2000) Summary,Type of Crop A,Type of Crop B,Change (1st) Summary,Was there a forest change (1st)? A,Was there a forest change (1st)? B,Year of Change (1st) Summary,Year of first change? A,Year of first change? B,Type of change (1st)? Summary,Type of change? (first) A,Type of change? (first) B,Driver of change (1st) Summary,Driver of change? (1st) A,Driver of change? (1st) B,Was there 2nd change? Summary,2nd Change Year_A,2nd Change Year_B,Type of Change (2nd)? Summary,Type of change (2nd)? A,Type of change? (second) B,Driver of change? (2nd) Summary,Driver of change? (2nd) A,Driver of change (2nd)? B,Year of Change (3rd)? Summary,Year of third change? A,Year of third change? B,Type of Change (3rd) Summary,Type of change? (3rd) A,Type of change? (3rd) B,More than 3 changes? Summary,More than 3 changes? A,More than 3 changes? B,Land cover (2018) Summary,Land cover end of 2018? A,Land cover end of 2018? B,Type of Forest (2018) Summary,Type of forest? (2018),Type of forest? (2018),Type of NF (2018)? Summary,Type of NF? (2018) A,Type of NF? (2018) B,Type of crop (2018)? Summary,Type of crop? (2018) A,Type of crop? (2018) B
39,Hanna,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,D,yes,no,D,2016,NA,D,Degradation,NA,D,Unsure,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
40,Azi,Harold,A,non-forest,non-forest,NA,NA,NA,A,open/barren,open/barren,NA,NA,NA,D,yes,N/A non-forest entire time,D,2010,NA,D,Reforestation,NA,NA,NA,NA,D,2016,NA,D,Degradation,NA,D,Legal / illegal logging / poaching,NA,D,2017,NA,D,Degradation,NA,D,unsure,NA,A,non-forest,non-forest,NA,NA,NA,D,grassland,open/barren,NA,NA,NA
41,Azi,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
42,Harold,Tin,A,forest,forest,D,mangrove forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,D,mangrove forest,inland forest,NA,NA,NA,NA,NA,NA
43,Tin,Harold,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,built-up,annual crop,NA,NA,NA
44,Leizel,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
45,Jinia,Leizel,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,D,banana,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,D,banana,coconut / other palm
46,Jinia,Azi,A,non-forest,non-forest,NA,NA,NA,A,grassland,grassland,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,grassland,grassland,NA,NA,NA
47,Dennis,Azi,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
48,Dennis,Azi,A,non-forest,non-forest,NA,NA,NA,D,grassland,shrubs,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,grassland,shrubs,NA,NA,NA
